ds,bolivia,la_paz,cochabamba,santa_cruz,oruro,potosi,tarija,chuquisaca,beni,pando
2020-03-21,20,1,2,9,8,0,0,0,0,0
2020-03-22,27,1,3,15,8,0,0,0,0,0
2020-03-23,28,1,3,16,8,0,0,0,0,0
2020-03-24,32,3,3,18,8,0,0,0,0,0
2020-03-25,39,4,3,24,8,0,0,0,0,0
2020-03-26,61,8,10,34,8,1,0,0,0,0
2020-03-27,74,8,14,42,8,1,0,1,0,0
2020-03-28,81,10,14,44,8,3,0,1,0,1
2020-03-29,96,13,18,52,8,3,0,1,0,1
2020-03-30,107,14,20,59,8,3,1,1,0,1
2020-03-31,115,16,20,64,8,4,1,1,0,1
2020-04-01,123,16,21,68,8,4,1,1,0,4
2020-04-02,132,19,22,70,8,5,1,1,0,6
2020-04-03,139,20,24,74,8,5,1,1,0,6
2020-04-04,157,23,25,88,8,5,1,1,0,6
2020-04-05,183,32,33,97,8,5,1,1,0,6
2020-04-06,194,37,33,100,8,8,1,1,0,6
2020-04-07,210,39,38,103,8,10,1,1,0,10
2020-04-08,264,57,47,127,8,13,1,1,0,10
2020-04-09,268,57,48,130,8,13,1,1,0,10
2020-04-10,275,59,48,134,9,13,1,1,0,10
2020-04-11,300,65,49,147,11,15,1,1,0,11
2020-04-12,330,73,52,163,13,15,2,1,0,11
2020-04-13,354,80,54,177,14,15,2,1,0,11
2020-04-14,397,91,57,190,30,15,2,1,0,11
2020-04-15,441,101,59,215,37,15,2,1,0,11
2020-04-16,465,120,59,218,38,16,2,1,0,11
2020-04-17,493,120,60,237,42,18,3,1,0,12
2020-04-18,520,126,60,255,45,18,3,1,0,12
2020-04-19,564,133,61,290,45,19,3,1,0,12
2020-04-20,598,134,61,317,49,19,3,1,2,12
2020-04-21,609,137,62,324,49,19,3,1,2,12
2020-04-22,672,140,63,371,59,21,3,1,2,12
2020-04-23,703,150,66,385,62,21,3,2,2,12
2020-04-24,807,155,70,446,65,21,3,2,33,12
2020-04-25,866,159,71,489,65,26,3,2,39,12
2020-04-26,950,168,78,525,79,26,3,2,57,12
2020-04-27,1014,185,78,553,92,26,3,3,62,12
2020-04-28,1053,188,79,587,92,26,3,3,63,12
2020-04-29,1110,202,80,615,102,26,3,3,67,12
2020-04-30,1167,218,80,656,102,26,3,3,67,12
2020-05-01,1229,221,80,693,107,26,3,4,83,12
2020-05-02,1470,236,81,806,111,26,3,4,191,12
2020-05-03,1594,241,81,904,111,26,3,4,212,12
2020-05-04,1681,243,82,979,111,33,4,5,212,12
2020-05-05,1802,253,82,1083,113,35,6,6,212,12
2020-05-06,1886,260,82,1160,113,35,6,6,212,12
2020-05-07,2081,271,82,1318,115,35,6,11,231,12
2020-05-08,2266,294,90,1387,116,35,9,11,312,12
2020-05-09,2437,301,95,1537,121,35,10,14,312,12
2020-05-10,2556,309,104,1633,124,35,10,15,314,12
2020-05-11,2831,313,109,1823,124,36,10,15,389,12
2020-05-12,2964,316,130,1925,128,36,13,15,389,12
2020-05-13,3148,319,148,2041,128,36,13,15,436,12
2020-05-14,3372,322,170,2163,132,36,13,15,509,12
2020-05-15,3577,328,196,2297,132,36,13,15,548,12
2020-05-16,3826,333,214,2518,133,36,13,16,551,12
2020-05-17,4088,335,224,2763,135,38,13,17,551,12
2020-05-18,4263,342,228,2894,137,39,13,17,581,12
2020-05-19,4481,355,246,2982,138,39,13,17,679,12
2020-05-20,4919,363,259,3241,138,40,14,19,833,12
2020-05-21,5187,375,266,3414,141,41,17,19,902,12
2020-05-22,5579,381,285,3665,143,41,18,19,1015,12
2020-05-23,5915,386,295,3900,145,41,18,21,1097,12
2020-05-24,6263,394,329,4199,150,42,18,21,1097,13
2020-05-25,6660,403,339,4527,151,44,19,22,1142,13
2020-05-26,7136,410,345,4888,153,44,19,22,1242,13
2020-05-27,7768,415,376,5366,155,44,19,25,1355,13
2020-05-28,8387,423,419,5774,159,46,22,25,1506,13
2020-05-29,8731,444,488,5946,166,48,24,25,1576,14
2020-05-30,9592,478,556,6542,190,48,32,25,1707,14
2020-05-31,9982,507,611,6711,204,68,32,26,1809,14
2020-06-01,10531,555,714,7018,210,70,37,28,1885,14
2020-06-02,10991,614,786,7235,218,93,37,29,1965,14
2020-06-03,11638,635,851,7637,222,98,40,31,2101,23
2020-06-04,12245,661,898,7952,238,119,44,32,2278,23
2020-06-05,12728,692,960,8144,247,147,49,38,2428,23
2020-06-06,13358,737,1022,8556,256,171,58,39,2472,47
2020-06-07,13643,754,1097,8676,260,183,58,39,2511,65
2020-06-08,13949,776,1162,8811,274,188,65,43,2565,65
2020-06-09,14644,804,1231,9224,288,200,68,43,2692,94
2020-06-10,15281,842,1297,9594,305,205,69,61,2778,130
2020-06-11,16165,932,1369,10127,334,268,77,74,2809,175
2020-06-12,16929,983,1441,10536,358,274,87,85,2927,238
2020-06-13,17842,1064,1537,11154,369,295,112,100,2944,267
2020-06-14,18459,1149,1723,11424,378,331,112,102,2954,286
2020-06-15,19073,1213,1878,11741,389,343,123,117,2962,307
2020-06-16,19883,1254,1915,12366,400,361,149,129,2994,315
2020-06-17,20685,1298,2041,12725,420,378,175,134,3128,386
