ds,y,la_paz,cochabamba,santa_cruz,oruro,potosí,tarija,chuquisaca,beni,pando
2020-05-10,2556,309,104,1633,124,35,10,15,314,12
2020-05-09,2437,301,95,1537,121,35,10,14,312,12
2020-05-08,2266,294,90,1387,116,35,9,11,312,12
2020-05-07,2081,271,82,1318,115,35,6,11,231,12
2020-05-06,1886,260,82,1160,113,35,6,6,212,12
2020-05-05,1802,253,82,1083,113,35,6,6,212,12
2020-05-04,1681,243,82,979,111,33,4,5,212,12
2020-05-03,1594,241,81,904,111,26,3,4,212,12
2020-05-02,1470,236,81,806,111,26,3,4,191,12
2020-05-01,1229,221,80,693,107,26,3,4,83,12
2020-04-30,1167,218,80,656,102,26,3,3,67,12
2020-04-29,1110,202,80,615,102,26,3,3,67,12
2020-04-28,1053,188,79,587,92,26,3,3,63,12
2020-04-27,1014,185,78,553,92,26,3,3,62,12
2020-04-26,950,168,78,525,79,26,3,2,57,12
2020-04-25,866,159,71,489,65,26,3,2,39,12
2020-04-24,807,155,70,446,65,21,3,2,33,12
2020-04-23,703,150,66,385,62,21,3,2,2,12
2020-04-22,672,140,63,371,59,21,3,1,2,12
2020-04-21,609,137,62,324,49,19,3,1,2,12
2020-04-20,598,134,61,317,49,19,3,1,2,12
2020-04-19,564,133,61,290,45,19,3,1,0,12
2020-04-18,520,126,60,255,45,18,3,1,0,12
2020-04-17,493,120,60,237,42,18,3,1,0,12
2020-04-16,465,120,59,218,38,16,2,1,0,11
2020-04-15,441,101,59,215,37,15,2,1,0,11
2020-04-14,397,91,57,190,30,15,2,1,0,11
2020-04-13,354,80,54,177,14,15,2,1,0,11
2020-04-12,330,73,52,163,13,15,2,1,0,11
2020-04-11,300,65,49,147,11,15,1,1,0,11
2020-04-10,275,59,48,134,9,13,1,1,0,10
2020-04-09,268,57,48,130,8,13,1,1,0,10
2020-04-08,264,57,47,127,8,13,1,1,0,10
2020-04-07,210,39,38,103,8,10,1,1,0,10
2020-04-06,194,37,33,100,8,8,1,1,0,6
2020-04-05,183,32,33,97,8,5,1,1,0,6
2020-04-04,157,23,25,88,8,5,1,1,0,6
2020-04-03,139,20,24,74,8,5,1,1,0,6
2020-04-02,132,19,22,70,8,5,1,1,0,6
2020-04-01,123,16,21,68,8,4,1,1,0,4
2020-03-31,115,16,20,64,8,4,1,1,0,1
2020-03-30,107,14,20,59,8,3,1,1,0,1
2020-03-29,96,13,18,52,8,3,0,1,0,1
2020-03-28,81,10,14,44,8,3,0,1,0,1
2020-03-27,74,8,14,42,8,1,0,1,0,0
2020-03-26,61,8,10,34,8,1,0,0,0,0
2020-03-25,39,4,3,24,8,0,0,0,0,0
2020-03-24,32,3,3,18,8,0,0,0,0,0
2020-03-23,28,1,3,16,8,0,0,0,0,0
2020-03-22,27,1,3,15,8,0,0,0,0,0
2020-03-21,20,1,2,9,8,0,0,0,0,0
